[2.06.2025 19:50:05] User: salih1234, Action: Yeni kullanıcı kaydı, Success: True, Details: 
[2.06.2025 19:50:19] User: salih1234, Action: Giriş yapıldı, Success: True, Details: 
[2.06.2025 20:00:05] User: admin, Action: Başarısız giriş denemesi, Success: False, Details: 
[2.06.2025 20:35:46] User: salih1234, Action: Giriş yapıldı, Success: True, Details: 
[2.06.2025 20:42:37] User: salih1234, Action: Giriş yapıldı, Success: True, Details: 
[2.06.2025 20:42:43] User: salih1234, Action: Word uygulaması açıldı, Success: True, Details: 
[2.06.2025 20:42:57] User: salih1234, Action: Paint uygulaması açıldı, Success: True, Details: 
[2.06.2025 20:43:08] User: salih1234, Action: Çıkış yapıldı, Success: True, Details: 
[2.06.2025 20:44:45] User: , Action: Başarısız giriş denemesi, Success: False, Details: 
[2.06.2025 20:44:55] User: salih1234, Action: Giriş yapıldı, Success: True, Details: 
[2.06.2025 20:44:57] User: salih1234, Action: Word uygulaması açıldı, Success: True, Details: 
[2.06.2025 20:45:05] User: salih1234, Action: Yeni dosya oluşturuldu, Success: True, Details: 
[2.06.2025 20:45:24] User: salih1234, Action: Yeni dosya oluşturuldu, Success: True, Details: 
[2.06.2025 20:45:29] User: salih1234, Action: Paint uygulaması açıldı, Success: True, Details: 
[2.06.2025 20:45:54] User: salih1234, Action: Yeni çizim oluşturuldu, Success: True, Details: 
[2.06.2025 20:46:11] User: salih1234, Action: Çizim temizlendi, Success: True, Details: 
[2.06.2025 20:46:26] User: salih1234, Action: Word uygulaması açıldı, Success: True, Details: 
[2.06.2025 20:46:31] User: salih1234, Action: Çıkış yapıldı, Success: True, Details: 
[2.06.2025 20:47:55] User: , Action: Başarısız giriş denemesi, Success: False, Details: 
[2.06.2025 20:53:07] User: , Action: Boş kullanıcı adı veya şifre ile giriş denemesi, Success: False, Details: 
[2.06.2025 20:53:19] User: salih1234, Action: Kullanıcı girişi başarılı, Success: True, Details: 
[2.06.2025 20:54:28] User: salih1234, Action: Kullanıcı girişi başarılı, Success: True, Details: 
[2.06.2025 20:56:26] User: salih123, Action: Kullanıcı girişi başarılı, Success: True, Details: 
[2.06.2025 20:56:51] User: , Action: Boş kullanıcı adı veya şifre ile giriş denemesi, Success: False, Details: 
[2.06.2025 20:57:04] User: salih1234, Action: Kullanıcı girişi başarılı, Success: True, Details: 
[2.06.2025 20:58:12] User: salih123, Action: Kullanıcı girişi başarılı, Success: True, Details: 
[2.06.2025 20:59:14] User: salih123, Action: Kullanıcı girişi başarılı, Success: True, Details: 
[2.06.2025 21:02:19] User: salih123, Action: Kullanıcı girişi başarılı, Success: True, Details: 
[2.06.2025 21:03:35] User: salih123, Action: Kullanıcı girişi başarılı, Success: True, Details: 
[2.06.2025 21:04:54] User: salih123, Action: Kullanıcı girişi başarılı, Success: True, Details: 
[2.06.2025 21:08:26] User: salih123, Action: Kullanıcı girişi başarılı, Success: True, Details: 
[2.06.2025 21:08:29] User: salih123, Action: Word uygulaması açıldı, Success: True, Details: 
[2.06.2025 21:08:35] User: salih123, Action: Paint uygulaması açıldı, Success: True, Details: 
